id,movie_id,genre_id
19698,10626,1
19699,10626,8
19700,10626,14
19701,10626,16
19702,10626,19
7214,10629,1
8343,10630,1
8344,10630,14
8011,10631,1
8012,10631,11
8010,10631,16
16485,10636,1
16486,10636,14
15857,10638,11
6610,10640,1
6611,10640,7
6609,10640,16
16601,10647,1
16602,10647,14
14879,10669,2
14880,10669,5
14881,10669,6
14882,10669,11
14883,10669,12
14884,10669,15
14885,10669,17
3149,10670,2
3151,10670,4
3152,10670,5
3150,10670,19
6149,10676,1
2433,10679,1
2434,10679,5
2435,10679,7
2432,10679,16
15794,10680,1
9643,10684,1
9644,10684,18
9393,10686,2
9394,10686,4
9395,10686,5
8093,10688,1
4183,10693,6
4180,10693,11
4181,10693,18
4182,10693,19
17098,10697,1
12070,10701,1
12071,10701,5
19669,10702,1
2279,10706,1
2281,10706,5
2280,10706,11
16543,10721,7
16541,10721,16
16542,10721,19
18291,10722,7
18290,10722,13
18288,10722,16
18289,10722,19
10563,10729,1
17068,10737,4
17069,10737,7
6257,10740,1
6259,10740,7
6258,10740,13
6256,10740,16
9640,10742,1
9642,10742,7
9641,10742,13
7773,10746,11
7774,10746,19
14102,10748,1
7468,10751,5
7469,10751,6
8755,10758,1
11441,10759,1
11442,10759,17
18519,10767,1
5766,10771,1
5767,10771,5
1510,10792,2
1512,10792,11
1511,10792,18
3053,10793,1
3054,10793,7
10134,10800,18
10135,10800,19
11770,10804,1
12652,10813,1
12653,10813,5
14279,10814,1
14280,10814,19
6607,10815,1
6608,10815,19
19808,10816,14
10735,10819,19
15858,10823,1
15859,10823,6
10002,10831,4
10001,10831,18
14501,10847,1
17053,10857,1
9916,10869,19
5822,10871,1
5823,10871,4
5825,10871,7
5824,10871,13
12615,10877,1
12614,10877,16
12616,10877,19
16120,10894,1
14088,10901,1
8103,10912,2
8101,10912,11
8104,10912,12
8102,10912,18
4617,10915,6
15524,10916,11
15523,10916,16
10671,10921,1
2541,10922,1
13840,10931,2
13842,10931,6
13841,10931,19
5596,10936,2
5597,10936,5
18292,10938,1
18293,10938,2
18295,10938,5
18294,10938,11
7861,10945,1
7862,10945,5
7860,10945,8
7863,10945,13
9338,10948,1
9339,10948,13
9337,10948,16
6246,10953,4
19367,10960,3
19368,10960,11
9512,10962,1
9513,10962,18
9514,10962,19
13150,10966,4
13151,10966,7
4806,10970,8
4807,10970,19
12626,10979,11
12625,10979,17
11859,10980,1
14969,10994,1
14971,10994,5
14970,10994,11
18237,10998,1
18239,10998,6
18240,10998,7
18238,10998,19
8497,11002,1
8500,11002,13
8498,11002,18
8499,11002,19
13057,11003,1
13059,11003,5
13058,11003,19
19410,11011,1
17515,11018,6
17513,11018,11
17514,11018,19
12146,11023,12
12147,11023,15
3536,11030,1
17325,11031,1
17324,11031,16
12708,11035,6
12706,11035,11
12707,11035,12
17520,11037,16
17521,11037,19
15535,11041,1
19297,11043,19
19298,11044,19
14798,11082,7
16225,11088,1
16226,11088,6
16227,11088,7
16228,11088,16
16229,11088,19
6231,11089,1
6232,11089,5
6234,11089,7
6233,11089,13
6532,11092,1
6533,11092,6
6534,11092,7
6535,11092,18
6536,11092,19
15309,11098,3
5439,11099,1
5440,11099,5
5441,11099,7
3939,11104,1
3940,11104,19
11303,11118,19
6893,11119,4
6894,11119,7
7213,11123,1
2158,11151,5
18390,11178,7
15737,11181,2
15739,11181,4
15738,11181,11
15736,11181,18
5203,11191,4
14256,11197,14
14222,11199,2
14225,11199,7
14223,11199,11
14224,11199,12
16453,11200,1
16455,11200,6
16454,11200,19
15465,11216,1
